,title,authors,venue,year,unique_id
1158,tutorial : ldap directory services - just another database application ?,"s shukla , a deshpande","sigmod conference ,",2000.0,1158
1159,interbase : a multidatabase prototype system,"oa bukhres , j chen , ak elmagarmid , x liu , jg",,,1159
1160,mind : a scalable mining for classifier in relational databases,"m wang , b iyer , js vitter","proceedings of the acm sigmod workshop on research issues on & hellip ; ,",,1160
1161,aggregate-query processing in data warehousing environments,"ag ghqw , v harinarayan , d quass","proc . of the 21st vldb co @ , zurich , switzerland ,",,1161
1162,query processing techniques for arrays,"ap marathe , k salem","the vldb journal the international journal on very large & hellip ; ,",2002.0,1162
1163,query unnesting in object-oriented databases,l fegaras,,,1163
1164,shmueli . eventspecicationinan active object-oriented database,"n gehani , hv jagadish eto",acm sigmod international conference on management of,,1164
1165,"building a scalable geo-spatial database system : technology , implementation , and evaluation","j patel , j yu , n kabra , k tufte , b nag , j burger ,","proc . acm sigmod int . conf . on management of data ,",,1165
1166,storing semistructured data with stored,"ad dfs , m fernandez , d suciu","proc . of acm sigmod conf . on management of data , & hellip ; ,",,1166
1167,unpacking the semantics of source and usage to perform semantic reconciliation in large-scale,"k smith , l obrst","sigmod record ,",1999.0,1167
1168,database systems management and oracle8,cg doherty,"sigmod conference ,",1998.0,1168
1169,a high performance mapped object store,"sj white , dos dewitt",proceedings of the acm sigmod conference on the management,,1169
1170,coalescing in temporal databases,"mh bohlen , rt snodgrass , md soo",,,1170
1171,hierarchical prex cubes for range-sum queries,"cy chan , ye ioannidis",proceedings of the 25th international conference on very,,1171
1172,"constraint-based , multidimensional data mining",j han,,,1172
1173,fellini : a low-cost storage server for movie on demand databases,"b ozden , a biliris , r rastogi , a silberschatz","proceedings of the 20th international conference on very & hellip ; ,",,1173
1174,system r : relational approach to database management,"kp eswaran , jn gray , pp griffiths , wf king , ra","acm transactions on database systems ,",1976.0,1174
1175,querying atsql databases with temporal logic,"fb vej , wl branch , o toronto",,,1175
1176,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0,1176
1177,"a model of queries for object-oriented databases , 15th int",w kim,"conf . on very large data bases ,",,1177
1178,"integrating temporal , real-time , and active databases","k ramamritham , r sivasankaran , ja stankovic , dt","sigmod record ,",1996.0,1178
1179,query processing in a distributed data base system,"r epstein , m stonebraker , e wong","proc . acm sigmod conf . on management of data , austin , tex. , & hellip ; ,",,1179
1180,materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",,1180
1181,distributed algorithm for communication deadlock detection,"p rontogiannis , g pavlides , a levy","information and software technology ,",1991.0,1181
1182,mdas : heterogeneous distributed database management system,"bc desai , r pollock","information and software technology ,",1992.0,1182
1183,"kornatzky . ( 1995 ) . thelyric language : queringconstraintobjects . incareyandschneider , editors",a brodsky & y,proc . acm sigmod international conference on management of,,1183
1184,tracking set-expression cardinalities over continuous update streams,"s ganguly , m garofalakis , r rastogi","the vldb journal the international journal on very large & hellip ; ,",2004.0,1184
1185,distance-basedindexing for high dimensional metric spaces,tbm ozsoyoglu,"proc . of sigmod ,",,1185
1186,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","vldb ,",2000.0,1186
1187,"scalable feature selection , classification and signature generation for organizing large text","s chakrabarti , b dom , r agrawal , p raghavan","the vldb journal the international journal on very large & hellip ; ,",1998.0,1187
1188,object systems over relational databases,mk crowe,"information and software technology ,",1993.0,1188
1189,mining association rules in hypertext databases,"j borges , m levene","rn ,",1999.0,1189
1190,a unified spatiotemporal schema for representing and querying moving features,"r xie , r shibasaki","sigmod record ,",2005.0,1190
1191,a multi-level architecture for relational data base systems,"ha schmid , pa bernstein","vldb ,",1975.0,1191
1192,set query optimization in distributed database systems,"b gavish , a segev","acm transactions on database systems ,",1986.0,1192
1193,optimizing queries across diverse data sources,"lm haas , d kossmann , el wimmers , j yang","vldb ,",1997.0,1193
1194,guest editorial,"pa bernstein , y ioannidis , r ramakrishnan","the vldb journal the international journal on very large & hellip ; ,",2003.0,1194
1195,ã cents â ? ¬ å?using schema matching to simplify heterogeneous data translationã cents â ? ¬ â ?,"t milo , s zohar",proc . of the 24th vldb,,1195
1196,modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , ts naos-e-cient","proceedings of the 20th international conference on very & hellip ; ,",,1196
1197,query optimization in heterogeneous databases,"w du , r krishnamurthy , m shan","proc . vldb conference , vancouver ,",,1197
1198,a raster approximation for the processing of polyline spatial joins,"g zimbrã # o , jm de souza , rs monteiro , lg azevedo ,",,,1198
1199,linear road : a benchmark for stream data management systems,"a arasu , m cherniack , e galvez , d maier , a maskey ,",vldb,,1199
1200,an efficient algorithm for mining association in large databases,"a savasere , e omiecinski , s navathe",,,1200
1201,querying heterogeneous information sources using source descriptions . 22th vldb,"ay levy , a rajaramanâ ? ¦","bombay , india ,",,1201
1202,mining association rules betwwen sets of items in large databases,"r agrawal , t imielinski , a swami","proceedings of acm sigmod conference on management of data , & hellip ; ,",,1202
1203,a model of queries for object-oriented databases,w kim,"vldb ,",1989.0,1203
1204,the sequoia storage benchmark,"m stonebraker , j frew , k gardels , j meredith",acm sigmod international conference on management of,,1204
1205,range queries to scalable distributed data structure rp * .,"m tsangou , s ndiaye , m seck , w litwin",,,1205
1206,an extensible object-oriented approach to databases for cad/vlst,"h afsarmanesh , d knapp , d mcleod , a parker","proceeding ~ of the 11th vldb conference , vldb endowment ,",,1206
1207,data mining,"p adriaans , d zantinge",,1997.0,1207
1208,effects of locking granularity in a database management system,"dr ries , m stonebraker","acm transactions on database systems ,",1977.0,1208
1209,seq : design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan","computer sciences technical report-university of wisconsin & hellip ; ,",1996.0,1209
1210,aqua : system and techniques for approximate query answering,"pb gibbons , v poosala , s acharya , y bartal , y",,,1210
1211,"self-adaptive , on-line reclustering of complex object data",", r king","sigmod record ,",1994.0,1211
1212,an efficient and scalable algorithm for clustering xml documents by structure,xml clustering,"ieee transactions on knowledge and data engineering ,",2004.0,1212
1213,acyclic query processing in object-oriented databases .,acms anthology,,,1213
1214,ensuring consistency in multidatabases by preserving two-level serializability,"s mehrotra , r rastogi , hf korth , a silberschatz","acm transactions on database systems ,",1998.0,1214
1215,efficiently publishing relational data as xml documents,"m carey , b lindsay , h pirahesh , b reinwald",proc .,,1215
1216,andf . vincent . nearest neighbor queries,"n roussopoulos , s kelly","proceedings of the acm sigmod conference ,",,1216
1217,integration of integrity constraints for data warehouse,"n essoussi , l riadi-isg , mb ahmed , l riadi-ensi",,,1217
1218,on using prolog to implement object-oriented databases,"nw paton , s leishman , sm embury , pmd gray","information and software technology ,",1993.0,1218
1219,kudoa-the irish experience . salmon industry perspectives,r palmer,"& hellip ; of agriculture , fisheries and food , aquaculture industry & hellip ; ,",,1219
1220,design and implementation of rock & roll : a deductive object-oriented database system,"ml barja , aaa fernandes , nw paton , mh williams",,,1220
1221,answering queries using views,m vines,"vldb journal ,",2001.0,1221
1222,association rule mining over interval data,"r miller , y yang",,,1222
1223,online dynamic reordering,"v raman , b raman , jm hellerstein","the vldb journal the international journal on very large & hellip ; ,",2000.0,1223
1224,on the design of relational database schemata,"c zaniolo , ma melkanoff","tods ,",1981.0,1224
1225,ispp announcements,igs complimentary,,,1225
1226,learning probabilistic relational models,"n friedman , l getoor , d koller , a pfeffer",,,1226
1227,on implementing interactive association rule mining,"b goethals , j van den bussche","proceedings of the acm sigmod workshop on research issues in & hellip ; ,",,1227
1228,parallel query optimization for shared memory multiprocessors,"h lu , mc shan , kl tan","proceedings of 17th vldb conference , august ,",,1228
1229,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0,1229
1230,a bayesian decision model for cost optimal record matching,"vs verykios , gv moustakides , mg elfeky","the vldb journal the international journal on very large & hellip ; ,",2003.0,1230
1231,modelling temporal data,au tansel,"information and software technology ,",1990.0,1231
1232,approaches to deductive object-oriented databases,"aaa fernandes , nw paton , mh williams , a bowles",,,1232
1233,traffic engineering,s spraggs,"bt technology journal ,",2000.0,1233
1234,zoo : a desktop emperiment management environment .,"acms anthology , p edition",,,1234
1235,an online video placement policy based on bandwidth to space ratio ( bsr ),"a dan , d sitaram",,,1235
1236,interoperability of geographical information systems,h kuus,,2002.0,1236
1237,on the performance analysis of multi-dimensional r-tree-based data structures,"y theodoridis , t sellis","greece : national technical university of athens ,",,1237
1238,native xml database management systems : the survey,"k chatzinas , h meng",,,1238
1239,distributed search over the hidden web : hierarchical database sampling and selection,"l gravano , p ipeirotis",proceedings of the twenty-eighth vldb,,1239
1240,a stream database for network applications,"c cranor , t johnson , o spataschek , vs gigascope",proceedings of the 2003 acm sigmod international conference,,1240
1241,"8z tzaban , y. ( 1999 ) , sal : an algebra for semistructured data and xml",c beeri,proc . acm sigmod workshop on the web and databases ( webdb &#39; 99,,1241
1242,dr mc carthy the architecture of an active database management system in proc,u dayal,"sigmod conference , portland , may ,",,1242
1243,augmented reality as a metaphor in mobile computing,"o bertelsen , c nielsen","proc dis2000 , acm , acm ,",,1243
1244,semantics for update rule programs and implementation in a relational database management system,"l raschid , j lobo",,1996.0,1244
1245,incremental updates of inverted lists for text document retrieval,"a tomasic , h garcia-molina , k shoens","sigmod record ,",1994.0,1245
1246,a process model for data bases,j guyot,"sigmod record ,",1988.0,1246
1247,novel approaches in query proceedings for moving objects,"d pfoser , c jensen , y theodoridis","proceedings of the 26th international conference on very & hellip ; ,",,1247
1248,design and implementation of advanced knowledge processing in the kbms krisys,j thomas,"sigmod record ,",1995.0,1248
1249,data management issues in electronic commerce guest editor 's introduction,a dogac,"sigmod record ,",2002.0,1249
